image_no,tree_no,naver_d,disp,disp_r
1,1,10.7,0.05355,18.67413632
1,2,8.2,0.05091,19.64250638
1,3,10.5,0.04482,22.31146809
1,4,14.1,0.04662,21.45002145
2,1,6.9,0.07371,13.56668023
2,2,6.5,0.07894,12.667849
3,1,22.3,0.04107,24.348673
3,2,18.7,0.03621,27.61668048
3,3,16.7,0.02148,46.55493482
3,4,17.9,0.01799,55.58643691
3,5,19.6,0.01801,55.5247085
4,1,20.6,0.02569,38.925652
4,2,14.1,0.02414,41.42502071
4,3,12.4,0.02773,36.06202669
4,4,14.3,0.02767,36.14022407
4,5,19.8,0.02163,46.23208507
4,6,24.2,0.01714,58.34305718
5,1,17.7,0.02397,41.71881519
5,2,13.8,0.02366,42.26542688
5,3,12.2,0.02607,38.35826621
6,1,42.8,0.02009,49.77600796
6,2,34.6,0.02219,45.06534475
6,3,29.7,0.01618,61.80469716
6,4,23.4,0.01338,74.73841555
6,5,18.4,0.0169,59.17159763
6,6,14.6,0.01757,56.91519636
7,1,18.8,0.012,83.33333333
7,2,12.8,0.01216,82.23684211
7,3,10.9,0.01641,60.93845216
8,1,24.7,0.01145,87.33624454
8,2,19.3,0.01575,63.49206349
8,3,13.3,0.01503,66.53359947
8,4,16.2,0.02733,36.58982803
9,1,9.9,0.02536,39.43217666
9,2,8.5,0.03018,33.13452618
10,1,14.1,0.01963,50.94243505
10,2,9.5,0.02241,44.62293619
10,3,11.2,0.02361,42.35493435
11,1,47,0.01191,83.96305626
11,2,40.7,0.01262,79.23930269
11,3,35.7,0.01267,78.92659826
11,4,31.7,0.01349,74.12898443
11,5,26.5,0.01341,74.57121551
11,6,23.8,0.01341,74.57121551
11,7,24.5,0.01407,71.0732054
11,8,25.8,0.0156,64.1025641
12,1,42.6,0.01033,96.8054211
12,2,37.3,0.01409,70.97232079
12,3,30,0.01199,83.4028357
12,4,26.3,0.01006,99.40357853
12,5,24.7,0.01855,53.9083558
12,6,24.9,0.00953,104.9317943
12,7,26.3,0.01792,55.80357143
12,8,28,0.01421,70.37297678
12,9,31,0.02163,46.23208507
12,10,36.9,0.0229,43.66812227
13,1,28.1,0.02206,45.33091568
13,2,16.3,0.02152,46.46840149
13,3,15.3,0.01075,93.02325581
13,4,17.1,0.01722,58.07200929
14,1,26.5,0.00754,132.6259947
14,2,16.8,0.03065,32.62642741
14,3,16.5,0.01837,54.43658138
14,4,26.6,0.01554,64.35006435
15,1,25.6,0.02738,36.5230095
15,2,18.9,0.01696,58.96226415
15,3,16.2,0.01154,86.65511265
15,4,16.4,0.01247,80.19246191
15,5,19.9,0.00831,120.3369434
